file_path,percentuale_nodata,supera_soglia
piedmont_new/fire_6392/fire_6392_2021-03-30_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6392/fire_6392_2021-03-31_pre_landsat_2.tif,36.95%,YES
piedmont_new/fire_6392/fire_6392_2021-04-04_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6392/fire_6392_2021-04-06_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6392/fire_6392_2021-03-31_pre_landsat_3.tif,50.21%,YES
piedmont_new/fire_6392/fire_6392_2021-04-01_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6392/fire_6392_2021-04-01_pre_landsat_1.tif,0.00%,NO
piedmont_new/fire_6451/fire_6451_2021-08-29_pre_sentinel_2.tif,0.92%,NO
piedmont_new/fire_6451/fire_6451_2021-08-31_pre_landsat_1.tif,78.74%,YES
piedmont_new/fire_6451/fire_6451_2021-08-30_pre_landsat_3.tif,100.00%,YES
piedmont_new/fire_6451/fire_6451_2021-09-01_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6451/fire_6451_2021-08-27_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6451/fire_6451_2021-08-30_pre_landsat_2.tif,14.14%,NO
piedmont_new/fire_5487/fire_5487_2017-10-29_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_5487/fire_5487_2017-10-27_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_5487/fire_5487_2017-10-30_pre_landsat_2.tif,50.68%,YES
piedmont_new/fire_5487/fire_5487_2017-10-24_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5487/fire_5487_2017-10-30_pre_landsat_1.tif,52.54%,YES
piedmont_new/fire_6573/fire_6573_2022-02-20_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6573/fire_6573_2022-02-15_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6573/fire_6573_2022-02-15_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6573/fire_6573_2022-02-18_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6573/fire_6573_2022-02-14_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_6645/fire_6645_2022-03-20_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6645/fire_6645_2022-03-25_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6645/fire_6645_2022-03-25_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6645/fire_6645_2022-03-20_pre_sentinel_5.tif,0.00%,NO
piedmont_new/fire_6645/fire_6645_2022-03-20_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_5402/fire_5402_2017-09-07_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5402/fire_5402_2017-09-04_pre_landsat_2.tif,6.46%,NO
piedmont_new/fire_5402/fire_5402_2017-09-09_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_5402/fire_5402_2017-09-04_pre_landsat_3.tif,87.47%,YES
piedmont_new/fire_5402/fire_5402_2017-09-04_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_5402/fire_5402_2017-09-05_pre_landsat_1.tif,86.94%,YES
piedmont_new/fire_5402/fire_5402_2017-09-09_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6984/fire_6984_2023-04-09_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6984/fire_6984_2023-04-15_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6984/fire_6984_2023-04-09_pre_landsat_3.tif,73.97%,YES
piedmont_new/fire_6984/fire_6984_2023-04-14_pre_landsat_2.tif,75.72%,YES
piedmont_new/fire_6984/fire_6984_2023-04-11_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6984/fire_6984_2023-04-14_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6913/fire_6913_2023-03-05_pre_landsat_1.tif,0.16%,NO
piedmont_new/fire_6913/fire_6913_2023-03-07_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6913/fire_6913_2023-03-05_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6913/fire_6913_2023-03-10_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6913/fire_6913_2023-03-05_pre_landsat_2.tif,0.00%,NO
piedmont_new/fire_6384/fire_6384_2021-03-30_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6384/fire_6384_2021-03-27_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6384/fire_6384_2021-04-01_pre_landsat_1.tif,4.42%,NO
piedmont_new/fire_6384/fire_6384_2021-04-01_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6384/fire_6384_2021-03-31_pre_landsat_2.tif,99.93%,YES
piedmont_new/fire_6373/fire_6373_2021-03-20_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6373/fire_6373_2021-03-20_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6373/fire_6373_2021-03-17_pre_sentinel_5.tif,0.00%,NO
piedmont_new/fire_6373/fire_6373_2021-03-22_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6373/fire_6373_2021-03-17_pre_sentinel_6.tif,0.00%,NO
piedmont_new/fire_6373/fire_6373_2021-03-22_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6373/fire_6373_2021-03-23_pre_landsat_1.tif,1.11%,NO
piedmont_new/fire_6373/fire_6373_2021-03-23_pre_landsat_2.tif,1.11%,NO
piedmont_new/fire_6373/fire_6373_2021-03-16_pre_landsat_3.tif,0.04%,NO
piedmont_new/fire_6269/fire_6269_2020-02-16_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6269/fire_6269_2020-02-14_pre_sentinel_5.tif,0.00%,NO
piedmont_new/fire_6269/fire_6269_2020-02-19_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6269/fire_6269_2020-02-19_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6269/fire_6269_2020-02-18_pre_landsat_1.tif,38.74%,YES
piedmont_new/fire_6269/fire_6269_2020-02-17_pre_landsat_3.tif,34.18%,YES
piedmont_new/fire_6269/fire_6269_2020-02-17_pre_landsat_2.tif,0.00%,NO
piedmont_new/fire_6269/fire_6269_2020-02-16_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_5200/fire_5200_2016-08-20_pre_sentinel_1.tif,100.00%,YES
piedmont_new/fire_5200/fire_5200_2016-08-16_pre_landsat_1.tif,12.35%,NO
piedmont_new/fire_5200/fire_5200_2016-08-16_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_7028/fire_7028_2023-09-06_pre_landsat_2.tif,0.00%,NO
piedmont_new/fire_7028/fire_7028_2023-09-10_pre_landsat_1.tif,28.33%,YES
piedmont_new/fire_7028/fire_7028_2023-09-05_pre_landsat_3.tif,99.99%,YES
piedmont_new/fire_7028/fire_7028_2023-09-08_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6495/fire_6495_2021-05-26_pre_landsat_2.tif,14.55%,NO
piedmont_new/fire_6495/fire_6495_2021-05-26_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6495/fire_6495_2021-05-27_pre_landsat_1.tif,64.14%,YES
piedmont_new/fire_6495/fire_6495_2021-05-24_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6495/fire_6495_2021-05-29_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-19_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-22_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-19_pre_landsat_3.tif,56.13%,YES
piedmont_new/fire_6346/fire_6346_2020-08-24_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-22_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6346/fire_6346_2020-08-20_pre_landsat_2.tif,74.30%,YES
piedmont_new/fire_6346/fire_6346_2020-08-20_pre_landsat_1.tif,78.79%,YES
