thr, IoU, Precision, Recall, F1
0.95, 0.4026, 0.5761, 0.5722, 0.5741
0.90, 0.3762, 0.4659, 0.6615, 0.5467
0.85, 0.3447, 0.4017, 0.7086, 0.5127
0.80, 0.3228, 0.3631, 0.7442, 0.4881
0.75, 0.3030, 0.3330, 0.7705, 0.4650
0.70, 0.2875, 0.3113, 0.7903, 0.4466
0.65, 0.2746, 0.2938, 0.8074, 0.4308
0.60, 0.2602, 0.2759, 0.8206, 0.4130
0.55, 0.2466, 0.2595, 0.8331, 0.3957
0.50, 0.2341, 0.2446, 0.8442, 0.3793
0.45, 0.2211, 0.2298, 0.8541, 0.3622
0.40, 0.2097, 0.2169, 0.8632, 0.3467
0.35, 0.1980, 0.2039, 0.8719, 0.3305
0.30, 0.1852, 0.1900, 0.8808, 0.3126
0.25, 0.1725, 0.1763, 0.8895, 0.2943
0.20, 0.1604, 0.1633, 0.8993, 0.2764
0.15, 0.1475, 0.1496, 0.9110, 0.2571
0.10, 0.1316, 0.1330, 0.9256, 0.2326
0.05, 0.1106, 0.1114, 0.9403, 0.1992
