idx,gt_burn_frac,landcover_dom,iou_new,iou_old,delta_iou,f1_new,f1_old
0,0.044158935546875,2,0.0,0.0,0.0,0.0,0.0
1,0.00360107421875,2,0.49684210525269806,0.0,0.49684210525269806,0.6638537226911642,0.0
2,0.31390380859375,2,0.16362045498728192,0.0,0.16362045498728192,0.28122649937924893,0.0
3,0.0008697509765625,2,0.009312913907265494,0.0,0.009312913907265494,0.018453967371940678,0.0
4,0.000396728515625,2,0.0,0.0,0.0,0.0,0.0
5,0.0048980712890625,5,0.0,0.0,0.0,0.0,0.0
6,0.0002899169921875,2,0.0,0.0,0.0,0.0,0.0
7,0.000335693359375,2,0.0,0.0,0.0,0.0,0.0
8,0.000640869140625,2,0.0,0.0,0.0,0.0,0.0
9,0.006011962890625,2,0.0,0.0,0.0,0.0,0.0
10,0.13677978515625,11,0.6439829685510988,0.0,0.6439829685510988,0.7834423797585527,0.0
11,0.004913330078125,2,0.0,0.0,0.0,0.0,0.0
12,0.000457763671875,5,0.0,0.0,0.0,0.0,0.0
13,0.00714111328125,2,0.07747061744731423,0.0,0.07747061744731423,0.14380088973884042,0.0
14,0.0022430419921875,2,0.0,0.0,0.0,0.0,0.0
15,0.0018157958984375,2,0.0,0.0,0.0,0.0,0.0
16,0.0103759765625,2,0.11015713591428777,0.0,0.11015713591428777,0.1984532303729043,0.0
17,0.000213623046875,2,0.0,0.0,0.0,0.0,0.0
18,0.04241943359375,2,0.07985611510762641,0.0,0.07985611510762641,0.14790139769666327,0.0
19,0.257598876953125,11,0.36172516466644333,0.0,0.36172516466644333,0.531274842671363,0.0
20,0.0037841796875,2,0.05167743279839201,0.0,0.05167743279839201,0.09827620275049724,0.0
21,0.0007781982421875,2,0.0,0.0,0.0,0.0,0.0
22,0.0001678466796875,11,0.0,0.0,0.0,0.0,0.0
23,0.00091552734375,2,0.04132973944257566,0.0,0.04132973944257566,0.07937877382272214,0.0
24,0.0017547607421875,11,0.0,0.0,0.0,0.0,0.0
25,0.001007080078125,5,0.0,0.0,0.0,0.0,0.0
26,0.0002593994140625,2,0.0,0.0,0.0,0.0,0.0
27,0.00311279296875,2,0.0,0.0,0.0,0.0,0.0
