sample_idx,gt_pos_frac,prob_mean,prob_p99
0.0,0.044158936,0.14597857,0.94241256
1.0,0.0036010742,0.039626285,0.7702622
2.0,0.3139038,0.15490897,0.833261
3.0,0.000869751,0.08362759,0.73363096
4.0,0.00039672852,0.047709994,0.7006771
5.0,0.0048980713,0.0850305,0.95232373
6.0,0.000289917,0.064791985,0.72764075
7.0,0.00033569336,0.0464501,0.76178306
8.0,0.00064086914,0.12614323,0.49568486
9.0,0.006011963,0.082883134,0.851256
10.0,0.13677979,0.7165026,0.990408
11.0,0.00491333,0.08481407,0.92664444
12.0,0.00045776367,0.095094725,0.78569055
13.0,0.0071411133,0.09753202,0.98617154
14.0,0.002243042,0.027197726,0.55975103
15.0,0.0018157959,0.015264364,0.4799451
16.0,0.010375977,0.05295658,0.8124274
17.0,0.00021362305,0.07783744,0.8706191
18.0,0.042419434,0.037958313,0.8534235
19.0,0.25759888,0.75727034,0.99575365
20.0,0.0037841797,0.100773595,0.9653992
21.0,0.00077819824,0.024102854,0.048282012
22.0,0.00016784668,0.021782964,0.56960666
23.0,0.00091552734,0.04505206,0.5958621
24.0,0.0017547607,0.035774045,0.47853944
25.0,0.0010070801,0.11463181,0.83717614
26.0,0.0002593994,0.021310925,0.4720091
27.0,0.003112793,0.039415836,0.63650584
28.0,0.00044250488,0.03450821,0.6705628
29.0,0.00064086914,0.027260445,0.24703299
30.0,0.0001373291,0.02310927,0.530125
31.0,0.00077819824,0.067581676,0.7619445
32.0,0.009277344,0.02631958,0.7391144
33.0,0.002746582,0.03806856,0.62954897
34.0,0.0002746582,0.034697987,0.6127279
35.0,0.018188477,0.28475416,0.97415465
36.0,0.00064086914,0.028966574,0.44749725
37.0,0.00062561035,0.039300352,0.8743892
38.0,0.062469482,0.21174626,0.9832144
39.0,0.0036621094,0.057112876,0.6957027
40.0,0.0018310547,0.029842416,0.83843756
41.0,9.1552734e-05,0.040717483,0.8217916
42.0,0.0025787354,0.06291246,0.79510087
43.0,0.00018310547,0.4660285,0.92869836
44.0,0.00019836426,0.013112983,0.33374023
45.0,0.0027160645,0.07205832,0.8712276
46.0,0.00039672852,0.025618024,0.6800513
47.0,0.00030517578,0.017413078,0.5036173
48.0,0.009262085,0.07572476,0.84262615
49.0,0.0018157959,0.0130612105,0.30516484
50.0,0.005783081,0.04727522,0.907726
51.0,0.0013427734,0.011184081,0.1550949
52.0,0.0074768066,0.05444227,0.91496485
53.0,0.003967285,0.010841604,0.09968688
54.0,0.00093078613,0.035063434,0.7421275
55.0,0.00044250488,0.02055709,0.43236318
56.0,0.0013122559,0.090844974,0.8444251
57.0,0.00019836426,0.027556784,0.16619083
58.0,0.00088500977,0.011319815,0.2811173
59.0,0.0010223389,0.092945404,0.62222373
60.0,0.0013122559,0.013912394,0.43813747
61.0,0.038208008,0.038523674,0.780154
62.0,0.00032043457,0.025377115,0.23312649
63.0,0.0443573,0.4982174,0.9973821
64.0,0.010803223,0.9547033,0.9961328
65.0,0.0005950928,0.15826614,0.90725356
66.0,0.010284424,0.04485399,0.92194307
67.0,0.0010681152,0.019052327,0.45194852
68.0,0.23513794,0.7374132,0.9950696
69.0,0.016021729,0.23279656,0.9696467
70.0,0.01083374,0.06553231,0.755286
71.0,0.0009613037,0.16408674,0.9466601
72.0,0.07873535,0.07882122,0.9027102
73.0,0.0024108887,0.03611875,0.830879
74.0,0.00012207031,0.041295756,0.48833343
75.0,0.00044250488,0.030138198,0.6747632
76.0,0.000869751,0.061289117,0.88134396
77.0,0.00015258789,0.04785733,0.7830104
78.0,0.003036499,0.04132564,0.8805647
79.0,0.00010681152,0.08383405,0.8145722
80.0,0.01109314,0.025387032,0.664088
81.0,0.18130493,0.89240056,0.99745166
82.0,0.06713867,0.77233773,0.99384445
83.0,0.0036010742,0.07036197,0.92388743
84.0,0.0013275146,0.044927593,0.8418022
85.0,0.0018615723,0.04900594,0.8884621
86.0,0.31915283,0.30569983,0.96048564
87.0,0.0008087158,0.040741425,0.70747995
88.0,0.26138306,0.7763507,0.9990412
89.0,0.0016326904,0.04332441,0.7296352
90.0,0.48072815,0.031581834,0.18641357
91.0,0.00091552734,0.017404266,0.49643573
92.0,0.0075683594,0.29282656,0.9957923
93.0,0.00091552734,0.02937086,0.73730165
94.0,0.0001373291,0.026584174,0.53538406
95.0,0.0018157959,0.15112941,0.9686818
96.0,0.000289917,0.0154950805,0.43668297
97.0,0.00065612793,0.024087286,0.047890477
98.0,0.006210327,0.04938796,0.77257794
99.0,0.00022888184,0.051419735,0.87119013
100.0,0.0002746582,0.011873782,0.2389112
101.0,0.011886597,0.070692286,0.9539999
102.0,0.010971069,0.031027826,0.7161662
103.0,0.00039672852,0.028334107,0.6510278
104.0,0.887619,0.9894111,0.99870497
105.0,0.00018310547,0.018532557,0.43875906
106.0,0.00022888184,0.035316832,0.73303556
107.0,0.0031585693,0.050645765,0.82876885
108.0,0.00061035156,0.036939405,0.7977063
109.0,0.0012359619,0.018339675,0.50539166
110.0,0.0019836426,0.016839473,0.45487082
111.0,0.062194824,0.2678958,0.9561726
112.0,0.007080078,0.064005956,0.9063059
113.0,0.0006866455,0.08867664,0.9319355
114.0,0.00064086914,0.06938995,0.8895688
115.0,0.0004119873,0.29442593,0.842774
116.0,0.02696228,0.110298626,0.93882686
117.0,0.00050354004,0.04446443,0.6551979
118.0,0.00022888184,0.024457412,0.6281203
119.0,0.0034332275,0.047267526,0.71787745
120.0,0.09887695,0.11389287,0.8156951
121.0,0.0002746582,0.02356644,0.6345082
122.0,0.00015258789,0.010505003,0.30591255
123.0,0.00010681152,0.124952495,0.9707687
124.0,0.0008239746,0.14629628,0.8221946
125.0,0.19258118,0.22828794,0.9268627
126.0,0.0005340576,0.03927879,0.48366517
127.0,0.043258667,0.060137246,0.9290329
128.0,0.0001373291,0.023881579,0.5478538
129.0,0.00035095215,0.036449928,0.6978758
130.0,0.00016784668,0.040273137,0.3479048
131.0,0.00390625,0.63195133,0.96723616
132.0,0.00061035156,0.0145754125,0.11098945
133.0,0.00062561035,0.052034833,0.7446931
134.0,0.00018310547,0.069351815,0.8451397
135.0,0.00044250488,0.058962386,0.9365324
136.0,0.010635376,0.095291,0.9055234
137.0,0.00022888184,0.012274198,0.12779582
138.0,0.0024261475,0.1275549,0.5680693
139.0,0.00045776367,0.014581005,0.25315607
140.0,0.002746582,0.036562063,0.7728426
141.0,0.0005950928,0.033082142,0.5144197
142.0,0.0002746582,0.02003424,0.5359018
143.0,0.0002746582,0.054729898,0.69482297
144.0,0.0025482178,0.33047777,0.92220825
145.0,0.0012512207,0.016384436,0.3886396
146.0,0.0002746582,0.009722003,0.20660809
147.0,0.0002593994,0.010329385,0.2544229
148.0,0.001449585,0.029757405,0.71839935
149.0,0.0007171631,0.020906556,0.53522646
150.0,0.00064086914,0.02190681,0.6172693
151.0,0.0001373291,0.0070895343,0.14159024
152.0,0.005279541,0.037546203,0.69403106
153.0,0.00012207031,0.1103955,0.88145304
154.0,0.00090026855,0.8225869,0.98035103
155.0,0.007980347,0.053971842,0.79417735
156.0,0.0007324219,0.0564565,0.90898675
157.0,0.0005645752,0.034315377,0.7119915
158.0,0.0041503906,0.37209493,0.91789526
159.0,0.4938507,0.9081991,0.9955849
160.0,0.004211426,0.34487653,0.9368043
161.0,0.0001373291,0.011406035,0.2219691
162.0,0.0018310547,0.045640774,0.9048441
163.0,0.00044250488,0.021282824,0.6155823
164.0,0.0007171631,0.040566422,0.7961655
165.0,0.005584717,0.07876064,0.98724884
166.0,0.0005493164,0.023070602,0.45599678
167.0,0.002960205,0.06883131,0.88972783
168.0,0.0032806396,0.058215763,0.73219186
169.0,0.0012817383,0.025229715,0.7266164
170.0,0.000289917,0.02080484,0.4608953
171.0,0.0002593994,0.05191071,0.7040741
172.0,0.0015563965,0.024062509,0.587079
173.0,0.0004272461,0.22346455,0.8931079
174.0,0.00035095215,0.020844791,0.5651826
175.0,0.19371033,0.65795946,0.9953128
176.0,0.0010681152,0.07953146,0.6963172
177.0,0.0007324219,0.046798103,0.59222764
178.0,0.00088500977,0.03158117,0.7917017
179.0,1.0,0.9995091,0.9997453
180.0,0.0004272461,0.038366824,0.71460634
181.0,0.002319336,0.069458276,0.92962664
182.0,0.0001373291,0.033000257,0.57701135
183.0,0.0013122559,0.019001724,0.50084084
184.0,0.0009765625,0.060803283,0.89349437
185.0,0.0005493164,0.03247072,0.75865185
186.0,0.0009460449,0.09497366,0.934252
187.0,0.0005340576,0.024103917,0.04800955
188.0,0.0010986328,0.04157816,0.65376854
189.0,0.00039672852,0.024634061,0.5902912
190.0,0.0005493164,0.010622103,0.22701302
191.0,0.02168274,0.63649845,0.9833393
192.0,0.00091552734,0.013107773,0.22817524
193.0,0.0021972656,0.106738046,0.81326085
194.0,0.0011444092,0.01920037,0.48957103
195.0,0.032226562,0.37167105,0.98912483
196.0,0.00044250488,0.07039535,0.81306154
197.0,0.0016174316,0.06810533,0.95487356
198.0,0.0032653809,0.07337219,0.90130514
199.0,0.0004119873,0.34352508,0.9131947
200.0,0.010543823,0.118040815,0.98579824
201.0,0.00090026855,0.030371722,0.7321168
202.0,0.0054016113,0.0505546,0.68927026
203.0,0.3421173,0.42375952,0.9435448
204.0,0.00010681152,0.014238903,0.37191728
205.0,0.0040893555,0.03810249,0.73706114
206.0,0.0021362305,0.07435938,0.93689686
207.0,0.00079345703,0.04716371,0.6542746
208.0,0.002380371,0.038850814,0.71241957
209.0,0.0007324219,0.06844737,0.7601706
210.0,0.33815002,0.9991287,0.99983394
211.0,0.016098022,0.11135837,0.9639534
212.0,0.00015258789,0.021349872,0.59176755
213.0,0.00021362305,0.019101625,0.46770233
214.0,0.011871338,0.08238599,0.9320113
215.0,0.00032043457,0.10088982,0.98261404
216.0,0.0013427734,0.2398955,0.929609
