threshold,IoU,Precision,Recall,F1,Accuracy,tp,tn,fp,fn
0.0,0.030876789617975898,0.030876789617975898,0.9999999999999774,0.05990393736558676,0.030876789617975898,441132,0,13845716,0
0.01,0.06397411676085912,0.06397423737466018,0.9999705303627712,0.12025502341039801,0.5482450712711435,441119,7391575,6454141,13
0.02,0.08128407023751266,0.08146624477577938,0.9732257011506539,0.15034729855766335,0.6603579039967384,429321,9005112,4840604,11811
0.03,0.09490289538269693,0.09533758419984109,0.9541588458783096,0.17335399308676583,0.7190244482197888,420910,9851683,3994033,20222
0.04,0.10372367090386846,0.10435216374251416,0.9451207348367168,0.1879522432106318,0.7478357717531532,416923,10267293,3578423,24209
0.05,0.11060126185690572,0.11138351780756559,0.9402922481252564,0.19917366313867713,0.7665298181936276,414793,10536502,3309214,26339
0.06,0.11594827162866889,0.11686443165921752,0.9366697496440762,0.2078022314759863,0.7794880998243974,413195,10723233,3122483,27937
0.07,0.12047142148396695,0.12151287039203461,0.9335822384229452,0.2150370246527242,0.7895491713777589,411833,10868336,2977380,29299
0.08,0.12450769838591437,0.12566996385951784,0.9308551635337964,0.2214439214354239,0.7978981088060846,410630,10988819,2856897,30502
0.09,0.1282065973771422,0.129490210092072,0.9282300989272841,0.22727503360305445,0.805109356521466,409472,11093003,2752713,31660
0.1,0.131628883740693,0.13303738479153768,0.9255551626270385,0.23263613078193895,0.8114664620215735,408292,11185006,2660710,32840
0.11,0.1353021624217524,0.1368495394593311,0.9228756925364534,0.23835444980808956,0.8178895022890978,407110,11277953,2567763,34022
0.12,0.13863391311628592,0.14033533993929972,0.91957962695971,0.2435091915168614,0.823583270431658,405656,11360753,2484963,35476
0.13,0.1417160099326833,0.14357022116791382,0.9164785143675608,0.2482508914001417,0.8286174809167139,404288,11434044,2411672,36844
0.14,0.14468991761052524,0.14669591065781093,0.9136516960909452,0.25280194054299876,0.8332376042637251,403041,11501298,2344418,38091
0.15,0.14748528842900113,0.1496422761018535,0.9109676922100207,0.2570582621418169,0.8374120729778879,401857,11562122,2283594,39275
0.16,0.15017800715176136,0.15248350399088653,0.9085307799025936,0.2611387190548606,0.8412574278105284,400782,11618135,2227581,40350
0.17,0.1526798055633741,0.15513165298717368,0.9061936109826332,0.26491277697048604,0.8447187231221325,399751,11668617,2177099,41381
0.18,0.15517792243322037,0.157780258296669,0.9039244489177637,0.2686649700589277,0.8480503887211506,398750,11717217,2128499,42382
0.19,0.1578229403082191,0.16058663510040286,0.9016756889094216,0.2726201620784616,0.8514352500985516,397758,11766568,2079148,43374
0.2,0.16035788414238503,0.16328898540321374,0.8993294524087824,0.2763938347380158,0.8546031986901514,396723,11812863,2032853,44409
0.21,0.1627957014019558,0.16589535447730622,0.8970444220777251,0.28000739884764847,0.8575591341071167,395715,11856102,1989614,45417
0.22,0.16513583387019787,0.16840384431611785,0.8948432668679467,0.2834619406881392,0.8603137654995694,394744,11896428,1949288,46388
